编号,项目名称,项目链接,项目状态,项目标签,项目价格,项目描述
15047234,问卷调查  每稿六元（仅限深圳地区）,https://task.zbj.com/15047234/,比稿,"['工作中', '已托管', '问卷调查']",￥510,帮忙填写一份5-10分钟的问卷交稿要求：提供问卷填完截图，以利于比对进行质量验收和通过同一账号/IP地址的用户 只可填写一次问卷地址在附件里！！！拜托大家认真填写，我们会人工详细审核，再次表示感谢
14967103,中国·石家庄（正定）国际小商品博览会——会旗 设计,https://task.zbj.com/14967103/,比稿,"['工作中', '已托管', '其它广告设计']",￥10500,1.会旗应有河北省石家庄市正定县元素，并具有博览会的行业特点，同时体现正博会形象。2. 设计须有国际化风格，体现展会的国际化内涵，严肃庄重又不失活泼。3.可以参考正定国际博览会logo设计（正博会LOGO可从网上获取）。4.应符合旗帜动感设计思路，并按照标准旗帜尺寸设计。5.提交作品格式为jpg，尺寸：288x192mm，作品图形电子稿分辨率不低于300dpi（像素），JPG或TIF格式，一经采用，须提供源文件及矢量图。6、设计阐述：应说明作品设计的创意基础、设计思路、理念和含义等（Word文档体现）。
15067678,会员管理系统后台开发,https://task.zbj.com/15067678/,派单,"['匹配中', '订单管理软件开发', '全国']",￥20000,会员管理系统后台开发描述：会员管理周期要求：1个月项目预算：2万详细功能描述：具体跟服务商详谈架构：C/S、B/S 协商终端要求：电脑端服务商地域：重庆雇主地域：黑龙江服务商：地域不限段先生
15068604,APP定制开发,https://task.zbj.com/15068604/,招标,"['匹配中', 'APP定制开发', '重庆']",￥30000,ios 版本的gmssl+open威屁恩客户端
15060825,LOGO设计,https://task.zbj.com/15060825/,招标,"['匹配中', 'LOGO']",可议价,LOGO设计
15069728,我需要LOGO设计,https://task.zbj.com/15069728/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15063071,LOGO设计,https://task.zbj.com/15063071/,招标,"['匹配中', 'LOGO']",可议价,需求：logo设计
15069756,重庆两江新区网吧协会需要logo,https://task.zbj.com/15069756/,招标,"['匹配中', 'VI定制品']",可议价,logo设计 重庆两江新区网吧协会 是网吧行业协会，但现在全行业大部分转型为了网咖，现在部分会员单位已开始向电竞方向在转型升级 现协会需要设计一个logo或一套VI
15069837,APP开发,https://task.zbj.com/15069837/,招标,"['匹配中', 'APP定制开发']",可议价,我需要APP开发
15069742,需要app定制开发,https://task.zbj.com/15069742/,招标,"['匹配中', 'APP定制开发']",可议价,APP开发
